team_id,team_name,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def
95,Roma,a,1.18063,0.496521,1.18063,0.496521,10,4,1,0,1.9586999999999999,w,2018-08-19 19:00:00,1,0,0,3,0.6841090000000001,155,24,263,17
95,Roma,h,2.22995,2.35383,2.22995,2.35383,6,8,3,3,1.3179,d,2018-08-27 21:30:00,0,1,0,1,-0.12387999999999977,189,23,277,21
95,Roma,a,0.311589,1.69218,0.311589,1.69218,7,9,1,2,0.3365,l,2018-08-31 21:30:00,0,0,1,0,-1.380591,308,14,306,20
95,Roma,h,2.72023,1.17626,2.72023,1.17626,6,5,2,2,2.3994,d,2018-09-16 10:30:00,0,1,0,1,1.5439699999999998,334,21,344,14
95,Roma,a,3.20497,0.885381,3.20497,0.885381,7,2,0,2,2.7426999999999997,l,2018-09-23 13:00:00,0,0,1,0,2.3195889999999997,126,19,295,8
95,Roma,h,2.53238,0.48896,2.53238,0.48896,17,2,4,0,2.7800000000000002,w,2018-09-26 19:00:00,1,0,0,3,2.04342,242,17,442,13
95,Roma,h,2.45713,0.885573,2.45713,0.885573,5,12,3,1,2.431,w,2018-09-29 13:00:00,1,0,0,3,1.5715569999999999,258,13,210,21
95,Roma,a,0.863839,1.99899,0.863839,1.23773,7,6,2,0,0.5264,w,2018-10-06 18:30:00,1,0,0,3,-0.373891,241,15,313,20
95,Roma,h,1.6265,1.89155,1.6265,1.13025,13,4,0,2,1.1482999999999999,l,2018-10-20 13:00:00,0,0,1,0,0.4962500000000001,184,25,320,17
95,Roma,a,0.784661,2.03999,0.784661,2.03999,3,11,1,1,0.5047,d,2018-10-28 18:30:00,0,1,0,1,-1.255329,320,10,241,33
95,Roma,a,1.98078,1.22535,1.98078,0.464053,8,3,1,1,1.9351,d,2018-11-03 17:00:00,0,1,0,1,1.516727,136,36,253,16
95,Roma,h,3.04114,0.632158,3.04114,0.632158,8,2,4,1,2.8648000000000002,w,2018-11-11 14:00:00,1,0,0,3,2.408982,258,24,265,24
95,Roma,a,1.25017,1.36766,1.25017,1.36766,6,1,0,1,1.2439999999999998,l,2018-11-24 14:00:00,0,0,1,0,-0.1174900000000001,85,23,320,22
95,Roma,h,1.71663,2.20984,0.955367,2.20984,6,8,2,2,1.0316,d,2018-12-02 19:30:00,0,1,0,1,-1.254473,307,18,201,19
95,Roma,a,1.77887,1.49265,1.77887,1.49265,6,9,2,2,1.5897999999999999,d,2018-12-08 17:00:00,0,1,0,1,0.2862199999999999,251,24,167,24
95,Roma,h,1.87358,2.14236,1.87358,2.14236,9,11,3,2,1.1484,w,2018-12-16 19:30:00,1,0,0,3,-0.26878,185,20,276,19
95,Roma,a,0.253011,2.27872,0.253011,2.27872,5,6,0,1,0.15389999999999998,l,2018-12-22 19:30:00,0,0,1,0,-2.025709,268,30,217,22
95,Roma,h,4.11791,0.591453,3.35665,0.591453,10,1,3,1,2.9331,w,2018-12-26 17:00:00,1,0,0,3,2.765197,236,26,209,22
95,Roma,a,1.71801,0.478268,1.71801,0.478268,5,4,2,0,2.3309,w,2018-12-29 14:00:00,1,0,0,3,1.2397420000000001,156,27,309,16
95,Roma,h,3.06196,1.4063,2.30066,1.4063,11,2,3,2,2.4497999999999998,w,2019-01-19 14:00:00,1,0,0,3,0.89436,155,30,169,38
95,Roma,a,1.86431,2.35929,1.86431,1.59799,7,15,3,3,1.0413,d,2019-01-27 14:00:00,0,1,0,1,0.2663199999999999,352,24,215,30
95,Roma,h,1.7818,0.781258,1.7818,0.781258,7,3,1,1,2.2061,d,2019-02-03 19:30:00,0,1,0,1,1.000542,363,23,230,17
95,Roma,a,1.53137,1.12095,1.53137,1.12095,8,5,3,0,1.6971,w,2019-02-08 19:30:00,1,0,0,3,0.41042,293,12,294,33
95,Roma,h,1.75554,2.36382,0.994237,2.36382,10,5,2,1,0.9906,w,2019-02-18 19:30:00,1,0,0,3,-1.369583,182,26,173,25
95,Roma,a,2.30167,1.66099,2.30167,1.66099,6,6,3,2,1.8891000000000002,w,2019-02-23 19:30:00,1,0,0,3,0.6406800000000001,200,27,277,35
95,Roma,a,1.23076,2.14667,1.23076,1.38537,5,6,0,3,0.5475,l,2019-03-02 19:30:00,0,0,1,0,-0.15460999999999991,132,18,231,25
95,Roma,h,1.14262,0.191518,1.14262,0.191518,4,6,2,1,2.2957,w,2019-03-11 19:30:00,1,0,0,3,0.951102,254,19,350,12
95,Roma,a,1.57775,1.21905,0.816451,0.457791,13,3,1,2,1.6841,l,2019-03-16 17:00:00,0,0,1,0,0.35866000000000003,253,31,251,17
95,Roma,h,1.98643,2.64072,1.22513,2.64072,7,8,1,4,0.9118,l,2019-03-31 13:00:00,0,0,1,0,-1.41559,451,28,209,20
95,Roma,h,1.52022,0.88749,1.52022,0.88749,7,2,2,2,1.8733000000000002,d,2019-04-03 20:00:00,0,1,0,1,0.6327299999999999,267,25,190,37
95,Roma,a,1.65846,1.31991,1.65846,1.31991,4,9,1,0,1.673,w,2019-04-06 19:30:00,1,0,0,3,0.33855000000000013,347,24,139,19
95,Roma,h,1.30438,0.561648,1.30438,0.561648,5,3,1,0,2.0045,w,2019-04-13 17:00:00,1,0,0,3,0.7427320000000001,211,20,193,18
95,Roma,a,0.528078,1.60416,0.528078,1.60416,5,8,1,1,0.5505,d,2019-04-20 19:30:00,0,1,0,1,-1.076082,403,9,131,16
