team_id,team_name,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def
183,Spartak Moscow,h,3.11719,0.867226,3.11719,0.867226,9,0,2,2,2.7666000000000004,d,2015-07-17 20:00:00,0,1,0,1,2.249964,70,23,241,16
183,Spartak Moscow,a,1.11679,0.544814,1.11679,0.544814,10,6,1,0,1.8775999999999997,w,2015-07-26 21:00:00,1,0,0,3,0.5719759999999999,240,31,142,15
183,Spartak Moscow,h,2.82556,0.955019,2.82556,0.955019,10,7,1,0,2.5486999999999997,w,2015-08-03 20:00:00,1,0,0,3,1.8705409999999998,153,25,211,17
183,Spartak Moscow,a,0.964013,0.685259,0.964013,0.685259,8,4,2,0,1.5954,w,2015-08-09 20:00:00,1,0,0,3,0.27875400000000006,133,19,271,26
183,Spartak Moscow,h,2.36242,1.92167,1.60814,1.92167,6,12,1,2,1.6794000000000002,l,2015-08-14 22:30:00,0,0,1,0,-0.3135300000000001,144,25,259,21
183,Spartak Moscow,a,1.81343,0.564029,1.81343,0.564029,12,5,3,1,2.3938,w,2015-08-22 16:00:00,1,0,0,3,1.2494010000000002,172,29,283,22
183,Spartak Moscow,h,2.51455,0.939741,1.76027,0.939741,5,5,1,2,2.4686,l,2015-08-29 20:30:00,0,0,1,0,0.820529,104,24,301,19
183,Spartak Moscow,h,0.584594,0.582656,0.584594,0.582656,6,4,1,0,1.2834,w,2015-09-13 14:30:00,1,0,0,3,0.0019379999999999953,243,26,223,23
183,Spartak Moscow,a,1.13929,2.63784,1.13929,2.63784,5,9,0,3,0.4423,l,2015-09-19 20:00:00,0,0,1,0,-1.4985500000000003,134,22,203,34
183,Spartak Moscow,h,1.00222,1.7383,1.00222,1.7383,10,6,2,2,0.8258,d,2015-09-26 20:00:00,0,1,0,1,-0.7360799999999998,166,19,216,25
183,Spartak Moscow,a,1.13125,0.474442,1.13125,0.474442,4,9,1,0,1.9505,w,2015-10-03 15:30:00,1,0,0,3,0.6568080000000001,204,30,224,32
183,Spartak Moscow,h,1.19069,0.919275,1.19069,0.919275,17,6,1,2,1.5654,l,2015-10-18 14:30:00,0,0,1,0,0.2714150000000001,173,30,287,28
183,Spartak Moscow,a,1.49256,1.69432,1.49256,1.69432,10,4,3,2,1.2011999999999998,w,2015-10-25 14:30:00,1,0,0,3,-0.20175999999999994,134,30,291,21
183,Spartak Moscow,h,0.713115,1.49378,0.713115,1.49378,15,7,0,1,0.7218,l,2015-11-01 20:30:00,0,0,1,0,-0.780665,229,32,252,25
183,Spartak Moscow,a,0.821247,0.60918,0.821247,0.60918,5,8,1,2,1.6028,l,2015-11-07 20:30:00,0,0,1,0,0.2120669999999999,258,25,174,28
183,Spartak Moscow,h,2.74712,1.57606,1.99284,1.57606,10,9,3,2,2.2006,w,2015-11-22 20:30:00,1,0,0,3,0.41677999999999993,240,20,164,32
183,Spartak Moscow,a,2.70414,1.53455,1.94986,1.53455,9,5,2,2,2.2009,d,2015-11-30 20:15:00,0,1,0,1,0.41530999999999985,188,16,178,17
183,Spartak Moscow,h,1.91914,0.889667,1.91914,0.889667,7,7,1,0,2.1716,w,2015-12-04 20:00:00,1,0,0,3,1.029473,244,25,269,25
183,Spartak Moscow,a,0.28828,2.49728,0.28828,2.49728,3,10,0,1,0.0689,l,2016-03-06 20:30:00,0,0,1,0,-2.209,198,22,201,27
183,Spartak Moscow,h,2.69823,0.775247,1.94395,0.775247,4,5,2,1,2.6744,w,2016-03-12 18:00:00,1,0,0,3,1.168703,83,19,289,27
183,Spartak Moscow,a,1.63389,0.26248,1.63389,0.26248,6,2,4,0,2.4754,w,2016-03-18 20:30:00,1,0,0,3,1.37141,166,35,307,24
