Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
18,fr Paris S-G,2024-04-16,2.3,@,es Barcelona,Champions League,Quarter-finals Leg 2,W 6-4,W 4-1,4,1,+3,67,3,1,1,0,2.3,1.6,+1.3,+0.5,1.1,0.9,+1.7,+1.4,+0.9,0.09,20,0.15,0.38,8,40.0,17.7,1,Match Report
19,fr Paris S-G,2024-04-10,1.2,,es Barcelona,Champions League,Quarter-finals Leg 1,W 6-4,L 2-3,2,3,-1,59,2,0,0,0,1.2,1.2,-0.7,-0.7,1.2,1.2,+0.8,+0.8,-0.2,0.07,18,0.11,0.33,6,33.3,17.9,0,Match Report
20,de Dortmund,2024-04-10,0.9,@,es Atlético Madrid,Champions League,Quarter-finals Leg 1,W 5-4,L 1-2,1,2,-1,66,1,0,0,0,0.9,0.9,-1.3,-1.3,0.3,0.7,+0.1,+0.1,-0.3,0.07,12,0.08,0.25,4,33.3,18.8,1,Match Report
21,es Atlético Madrid,2024-04-10,2.2,,de Dortmund,Champions League,Quarter-finals Leg 1,L 4-5,W 2-1,2,1,+1,34,2,0,0,0,2.2,2.2,+1.3,+1.3,1.6,0.9,-0.2,-0.2,-0.6,0.16,14,0.14,0.22,9,64.3,14.5,0,Match Report
22,es Barcelona,2024-04-10,1.9,@,fr Paris S-G,Champions League,Quarter-finals Leg 1,L 4-6,W 3-2,3,2,+1,41,3,0,0,0,1.9,1.9,+0.7,+0.7,1.6,1.3,+1.1,+1.1,+0.4,0.13,15,0.20,0.50,6,40.0,16.9,1,Match Report
23,de Bayern Munich,2024-04-09,1.9,@,eng Arsenal,Champions League,Quarter-finals Leg 1,W 3-2,D 2-2,2,2,0,41,1,1,1,0,1.9,1.1,+0.9,+0.1,1.1,1.3,+0.1,-0.1,-0.1,0.16,7,0.14,1.00,1,14.3,20.5,0,Match Report
24,es Real Madrid,2024-04-09,0.7,,eng Manchester City,Champions League,Quarter-finals Leg 1,W 4-4 (pk),D 3-3 (pk),3,3,0,39,2,0,0,0,0.7,0.7,-0.1,-0.1,0.5,0.3,+1.3,+1.3,+1.5,0.05,14,0.14,0.40,5,35.7,20.4,0,Match Report
25,eng Arsenal,2024-04-09,1.0,,de Bayern Munich,Champions League,Quarter-finals Leg 1,L 2-3,D 2-2,2,2,0,59,2,0,0,0,1.0,1.0,-0.9,-0.1,0.8,0.9,+1.0,+1.0,+1.2,0.08,13,0.15,0.50,4,30.8,16.7,0,Match Report
26,eng Manchester City,2024-04-09,0.8,@,es Real Madrid,Champions League,Quarter-finals Leg 1,L 4-4 (pk),D 3-3 (pk),3,3,0,61,3,0,0,0,0.8,0.8,+0.1,+0.1,0.7,0.9,+2.2,+2.2,+1.3,0.07,12,0.25,0.50,6,50.0,19.7,2,Match Report
27,nl PSV Eindhoven,2024-03-13,1.5,@,de Dortmund,Champions League,Rd of 16 Leg 2,L 1-3,L 0-2,0,2,-2,52,0,0,0,0,1.5,1.5,0.0,0.0,1.3,2.0,-1.5,-1.5,-1.3,0.09,17,0.00,0.00,7,41.2,17.4,0,Match Report
28,it Inter,2024-03-13,1.6,@,es Atlético Madrid,Champions League,Rd of 16 Leg 2,L 2-2 (pk),L 1-2 (pk),1,2,-1,52,1,0,0,0,1.6,1.6,-1.1,-1.1,1.4,1.2,-0.6,-0.6,-0.4,0.11,15,0.07,0.20,5,33.3,19.1,1,Match Report
29,es Atlético Madrid,2024-03-13,2.7,,it Inter,Champions League,Rd of 16 Leg 2,W 2-2 (pk),W 2-1 (pk),2,1,+1,48,2,0,0,0,2.7,2.7,+1.1,+1.1,1.7,1.6,-0.7,-0.7,-0.7,0.12,23,0.09,0.22,9,39.1,15.5,1,Match Report
30,de Dortmund,2024-03-13,1.5,,nl PSV Eindhoven,Champions League,Rd of 16 Leg 2,W 3-1,W 2-0,2,0,+2,48,2,0,0,0,1.5,1.5,0.0,0.0,1.2,0.9,+0.5,+0.5,+0.8,0.10,15,0.13,0.29,7,46.7,13.0,0,Match Report
31,eng Arsenal,2024-03-12,0.9,,pt Porto,Champions League,Rd of 16 Leg 2,W 1-1 (pk),W 1-0 (pk),1,0,+1,58,1,0,0,0,0.9,0.9,+0.4,+0.4,0.7,1.1,+0.1,+0.1,+0.3,0.07,13,0.08,0.25,4,30.8,13.0,0,Match Report
32,es Barcelona,2024-03-12,2.7,,it Napoli,Champions League,Rd of 16 Leg 2,W 4-2,W 3-1,3,1,+2,48,3,0,0,0,2.7,2.7,+1.4,+1.4,2.4,2.0,+0.3,+0.3,-0.4,0.12,24,0.13,0.30,10,41.7,16.7,1,Match Report
33,it Napoli,2024-03-12,1.3,@,es Barcelona,Champions League,Rd of 16 Leg 2,L 2-4,L 1-3,1,3,-2,52,1,0,0,0,1.3,1.3,-1.4,-1.4,1.2,1.2,-0.3,-0.3,-0.2,0.09,14,0.07,0.25,4,28.6,16.8,0,Match Report
34,pt Porto,2024-03-12,0.5,@,eng Arsenal,Champions League,Rd of 16 Leg 2,L 1-1 (pk),L 0-1 (pk),0,1,-1,42,0,0,0,0,0.5,0.5,-0.4,-0.4,0.4,0.3,-0.5,-0.5,-0.4,0.05,10,0.00,0.00,3,30.0,19.9,1,Match Report
35,eng Manchester City,2024-03-06,0.8,,dk FC Copenhagen,Champions League,Rd of 16 Leg 2,W 6-2,W 3-1,3,1,+2,68,3,0,0,0,0.8,0.8,-0.5,-0.5,0.7,0.7,+2.2,+2.2,+1.3,0.06,12,0.25,1.00,3,25.0,14.8,0,Match Report
36,es Real Madrid,2024-03-06,0.8,,de RB Leipzig,Champions League,Rd of 16 Leg 2,W 2-1,D 1-1,1,1,0,53,1,0,0,0,0.8,0.8,-0.3,-0.3,0.8,0.8,+0.2,+0.2,+0.2,0.07,11,0.09,0.33,3,27.3,18.3,0,Match Report
37,de RB Leipzig,2024-03-06,1.0,@,es Real Madrid,Champions League,Rd of 16 Leg 2,L 1-2,D 1-1,1,1,0,47,1,0,0,0,1.0,1.0,+0.3,+0.3,0.8,1.0,0.0,0.0,+0.2,0.05,20,0.05,0.25,4,20.0,17.8,1,Match Report
38,dk FC Copenhagen,2024-03-06,1.2,@,eng Manchester City,Champions League,Rd of 16 Leg 2,L 2-6,L 1-3,1,3,-2,32,1,0,0,0,1.2,1.2,+0.5,+0.5,1.2,0.8,-0.2,-0.2,-0.2,0.11,11,0.09,0.50,2,18.2,18.5,0,Match Report
39,fr Paris S-G,2024-03-05,1.4,@,es Real Sociedad,Champions League,Rd of 16 Leg 2,W 4-1,W 2-1,2,1,+1,56,2,0,0,0,1.4,1.4,+0.5,+0.5,1.4,0.9,+0.6,+0.6,+0.6,0.14,10,0.20,0.29,7,70.0,16.5,0,Match Report
40,de Bayern Munich,2024-03-05,3.5,,it Lazio,Champions League,Rd of 16 Leg 2,W 3-1,W 3-0,3,0,+3,60,3,0,0,0,3.5,3.5,+3.1,+3.1,2.8,1.9,-0.5,-0.5,-0.8,0.15,24,0.13,0.43,7,29.2,16.0,0,Match Report
41,it Lazio,2024-03-05,0.4,@,de Bayern Munich,Champions League,Rd of 16 Leg 2,L 1-3,L 0-3,0,3,-3,40,0,0,0,0,0.4,0.4,-3.1,-3.1,0.1,0.4,-0.4,-0.4,-0.1,0.08,5,0.00,,0,0.0,18.1,0,Match Report
42,es Real Sociedad,2024-03-05,0.9,,fr Paris S-G,Champions League,Rd of 16 Leg 2,L 1-4,L 1-2,1,2,-1,44,1,0,0,0,0.9,0.9,-0.5,-0.5,0.5,0.5,+0.1,+0.1,-0.5,0.06,14,0.07,0.14,7,50.0,16.9,0,Match Report
43,pt Porto,2024-02-21,1.0,,eng Arsenal,Champions League,Rd of 16 Leg 1,L 1-1 (pk),W 1-0 (pk),1,0,+1,36,1,0,0,0,1.0,1.0,+0.6,+0.6,0.3,0.3,0.0,0.0,+0.7,0.18,8,0.13,0.50,2,25.0,13.1,0,Match Report
44,it Napoli,2024-02-21,0.9,,es Barcelona,Champions League,Rd of 16 Leg 1,L 2-4,D 1-1,1,1,0,50,1,0,0,0,0.9,0.9,+0.2,+0.2,0.6,0.9,+0.1,+0.1,+0.4,0.15,6,0.17,1.00,1,16.7,16.1,1,Match Report
45,eng Arsenal,2024-02-21,0.4,@,pt Porto,Champions League,Rd of 16 Leg 1,W 1-1 (pk),L 0-1 (pk),0,1,-1,64,0,0,0,0,0.4,0.4,-0.6,-0.6,0.4,0.6,-0.4,-0.4,-0.4,0.06,7,0.00,,0,0.0,16.0,0,Match Report
46,es Barcelona,2024-02-21,0.7,@,it Napoli,Champions League,Rd of 16 Leg 1,W 4-2,D 1-1,1,1,0,50,1,0,0,0,0.7,0.7,-0.2,-0.2,0.7,1.2,+0.3,+0.3,+0.3,0.06,12,0.08,0.17,6,50.0,18.6,0,Match Report
47,it Inter,2024-02-20,2.3,,es Atlético Madrid,Champions League,Rd of 16 Leg 1,L 2-2 (pk),W 1-0 (pk),1,0,+1,56,1,0,0,0,2.3,2.3,+1.7,+1.7,1.2,1.3,-1.3,-1.3,-1.2,0.12,19,0.05,0.20,5,26.3,16.3,0,Match Report
48,es Atlético Madrid,2024-02-20,0.6,@,it Inter,Champions League,Rd of 16 Leg 1,W 2-2 (pk),L 0-1 (pk),0,1,-1,44,0,0,0,0,0.6,0.6,-1.7,-1.7,0.6,0.6,-0.6,-0.6,-0.6,0.09,7,0.00,,0,0.0,19.1,0,Match Report
