Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
334,de Leverkusen,2022-11-01,1.1,,be Club Brugge,Champions League,Group,,D 0-0,0,0,0,53,0,0,0,0,1.1,1.1,+0.6,+0.6,1.0,1.4,-1.1,-1.1,-1.0,0.08,13,0.00,0.00,4,30.8,20.7,0,Match Report
335,fr Marseille,2022-11-01,1.4,,eng Tottenham,Champions League,Group,,L 1-2,1,2,-1,64,1,0,0,0,1.4,1.4,+0.7,+0.7,1.2,1.3,-0.4,-0.4,-0.2,0.09,16,0.06,0.25,4,25.0,15.8,0,Match Report
336,de Bayern Munich,2022-11-01,1.5,,it Inter,Champions League,Group,,W 2-0,2,0,+2,60,2,0,0,0,1.5,1.5,+0.7,+0.7,1.3,1.2,+0.5,+0.5,+0.7,0.07,23,0.09,0.25,8,34.8,20.3,1,Match Report
337,sct Rangers,2022-11-01,1.8,,nl Ajax,Champions League,Group,,L 1-3,1,3,-2,47,0,1,1,0,1.8,1.0,0.0,-0.8,0.2,0.4,-0.8,-1.0,-0.2,0.15,7,0.00,0.00,2,28.6,21.1,1,Match Report
338,pt Sporting CP,2022-11-01,0.5,,de Eint Frankfurt,Champions League,Group,,L 1-2,1,2,-1,46,1,0,0,0,0.5,0.5,-0.7,+0.1,0.3,0.6,+0.5,+0.5,-0.3,0.09,5,0.20,0.50,2,40.0,13.1,0,Match Report
339,es Barcelona,2022-11-01,2.3,@,cz Viktoria Plzeň,Champions League,Group,,W 4-2,4,2,+2,76,4,0,0,0,2.3,2.3,-0.2,+0.5,1.6,1.4,+1.7,+1.7,+2.4,0.22,11,0.36,0.57,7,63.6,16.2,0,Match Report
340,pt Porto,2022-11-01,2.7,,es Atlético Madrid,Champions League,Group,,W 2-1,2,1,+1,50,2,0,0,0,2.7,2.7,+1.9,+1.9,2.7,0.7,-0.7,-0.7,-0.7,0.17,16,0.13,0.25,8,50.0,14.2,0,Match Report
341,eng Liverpool,2022-10-26,1.6,@,nl Ajax,Champions League,Group,,W 3-0,3,0,+3,50,3,0,0,0,1.6,1.6,+0.5,+0.5,1.6,2.1,+1.4,+1.4,+1.4,0.12,13,0.23,0.60,5,38.5,14.6,0,Match Report
342,it Napoli,2022-10-26,1.8,,sct Rangers,Champions League,Group,,W 3-0,3,0,+3,64,3,0,0,0,1.8,1.8,+1.1,+1.1,1.7,1.7,+1.2,+1.2,+1.3,0.13,14,0.21,0.50,6,42.9,12.9,0,Match Report
343,it Inter,2022-10-26,3.2,,cz Viktoria Plzeň,Champions League,Group,,W 4-0,4,0,+4,63,4,0,0,0,3.2,3.2,+3.1,+3.1,3.1,3.4,+0.8,+0.8,+0.9,0.15,22,0.18,0.44,9,40.9,14.5,0,Match Report
344,de Leverkusen,2022-10-26,1.5,@,es Atlético Madrid,Champions League,Group,,D 2-2,2,2,0,36,2,0,0,0,1.5,1.5,-1.1,-0.2,1.4,0.4,+0.5,+0.5,+0.6,0.12,13,0.15,0.29,7,53.8,18.0,0,Match Report
345,cz Viktoria Plzeň,2022-10-26,0.1,@,it Inter,Champions League,Group,,L 0-4,0,4,-4,37,0,0,0,0,0.1,0.1,-3.1,-3.1,0.1,0.3,-0.1,-0.1,-0.1,0.03,5,0.00,0.00,1,20.0,22.6,0,Match Report
346,de Eint Frankfurt,2022-10-26,1.1,,fr Marseille,Champions League,Group,,W 2-1,2,1,+1,44,2,0,0,0,1.1,1.1,+0.4,+0.4,1.1,1.0,+0.9,+0.9,+0.9,0.13,9,0.22,0.50,4,44.4,13.9,0,Match Report
347,sct Rangers,2022-10-26,0.7,@,it Napoli,Champions League,Group,,L 0-3,0,3,-3,36,0,0,0,0,0.7,0.7,-1.1,-1.1,0.4,0.4,-0.7,-0.7,-0.4,0.08,9,0.00,0.00,1,11.1,16.0,0,Match Report
348,be Club Brugge,2022-10-26,1.4,,pt Porto,Champions League,Group,,L 0-4,0,4,-4,56,0,0,1,1,1.4,0.6,-1.8,-2.6,0.5,0.4,-1.4,-0.6,-0.5,0.07,9,0.00,0.00,3,33.3,20.1,0,Match Report
349,es Atlético Madrid,2022-10-26,2.6,,de Leverkusen,Champions League,Group,,D 2-2,2,2,0,64,2,0,1,1,2.6,1.7,+1.1,+0.2,1.1,1.2,-0.6,+0.3,+0.9,0.08,22,0.09,0.22,9,40.9,17.9,0,Match Report
350,fr Marseille,2022-10-26,0.7,@,de Eint Frankfurt,Champions League,Group,,L 1-2,1,2,-1,56,1,0,0,0,0.7,0.7,-0.4,-0.4,0.6,0.6,+0.3,+0.3,+0.4,0.07,11,0.09,0.33,3,27.3,22.6,1,Match Report
351,pt Sporting CP,2022-10-26,0.8,@,eng Tottenham,Champions League,Group,,D 1-1,1,1,0,41,1,0,0,0,0.8,0.8,-0.9,-0.9,0.6,0.6,+0.2,+0.2,-0.6,0.09,10,0.10,0.25,4,40.0,17.9,0,Match Report
352,nl Ajax,2022-10-26,1.2,,eng Liverpool,Champions League,Group,,L 0-3,0,3,-3,50,0,0,0,0,1.2,1.2,-0.5,-0.5,1.2,0.9,-1.2,-1.2,-1.2,0.11,11,0.00,0.00,1,9.1,16.9,0,Match Report
353,es Barcelona,2022-10-26,0.7,,de Bayern Munich,Champions League,Group,,L 0-3,0,3,-3,52,0,0,0,0,0.7,0.7,-1.4,-1.4,0.4,0.6,-0.7,-0.7,-0.4,0.08,9,0.00,,0,0.0,21.2,1,Match Report
354,pt Porto,2022-10-26,3.2,@,be Club Brugge,Champions League,Group,,W 4-0,4,0,+4,44,4,0,0,0,3.2,3.2,+1.8,+2.6,2.9,1.7,+0.8,+0.8,-0.9,0.19,18,0.22,0.44,9,50.0,14.2,0,Match Report
355,eng Tottenham,2022-10-26,1.7,,pt Sporting CP,Champions League,Group,,D 1-1,1,1,0,59,1,0,0,0,1.7,1.7,+0.9,+0.9,1.4,2.0,-0.7,-0.7,-0.4,0.10,18,0.06,0.17,6,33.3,17.2,0,Match Report
356,de Bayern Munich,2022-10-26,2.1,@,es Barcelona,Champions League,Group,,W 3-0,3,0,+3,48,3,0,0,0,2.1,2.1,+1.4,+1.4,1.5,0.8,+0.9,+0.9,+1.5,0.16,14,0.21,0.43,7,50.0,14.8,0,Match Report
357,es Sevilla,2022-10-25,1.0,,dk FC Copenhagen,Champions League,Group,,W 3-0,3,0,+3,57,3,0,0,0,1.0,1.0,-0.1,-0.1,0.6,0.9,+2.0,+2.0,+1.4,0.07,15,0.20,0.27,11,73.3,19.7,0,Match Report
358,de Dortmund,2022-10-25,1.2,,eng Manchester City,Champions League,Group,,D 0-0,0,0,0,27,0,0,0,0,1.2,1.2,0.0,+0.7,1.0,0.7,-1.2,-1.2,-1.0,0.11,11,0.00,0.00,4,36.4,20.2,2,Match Report
359,hr Dinamo Zagreb,2022-10-25,0.7,,it Milan,Champions League,Group,,L 0-4,0,4,-4,55,0,0,0,0,0.7,0.7,-2.5,-1.7,0.7,0.6,-0.7,-0.7,-0.7,0.07,11,0.00,0.00,6,54.5,20.5,0,Match Report
360,ua Shakhtar,2022-10-25,0.8,@,sct Celtic,Champions League,Group,,D 1-1,1,1,0,46,1,0,0,0,0.8,0.8,-0.5,-0.5,0.8,0.7,+0.2,+0.2,+0.2,0.11,8,0.13,0.33,3,37.5,18.3,0,Match Report
361,dk FC Copenhagen,2022-10-25,1.1,@,es Sevilla,Champions League,Group,,L 0-3,0,3,-3,43,0,0,0,0,1.1,1.1,+0.1,+0.1,1.1,0.9,-1.1,-1.1,-1.1,0.11,10,0.00,0.00,2,20.0,18.8,0,Match Report
362,it Juventus,2022-10-25,2.4,@,pt Benfica,Champions League,Group,,L 3-4,3,4,-1,46,3,0,0,0,2.4,2.4,-1.0,-0.2,2.2,0.5,+0.6,+0.6,-0.2,0.28,13,0.23,0.75,4,30.8,9.7,0,Match Report
363,eng Manchester City,2022-10-25,1.2,@,de Dortmund,Champions League,Group,,D 0-0,0,0,0,73,0,0,1,1,1.2,0.4,0.0,-0.7,0.4,0.7,-1.2,-0.4,-0.4,0.06,7,0.00,0.00,2,28.6,19.8,0,Match Report
364,sct Celtic,2022-10-25,1.4,,ua Shakhtar,Champions League,Group,,D 1-1,1,1,0,54,1,0,0,0,1.4,1.4,+0.5,+0.5,0.6,0.8,-0.4,-0.4,-0.6,0.09,15,0.07,0.20,5,33.3,20.0,0,Match Report
365,fr Paris S-G,2022-10-25,2.6,,il Maccabi Haifa,Champions League,Group,,W 7-2,7,2,+5,62,6,0,0,0,2.6,2.6,+1.8,+1.8,2.4,1.8,+3.4,+3.4,+2.6,0.13,21,0.29,0.67,9,42.9,17.0,1,Match Report
366,at RB Salzburg,2022-10-25,1.6,,eng Chelsea,Champions League,Group,,L 1-2,1,2,-1,31,1,0,0,0,1.6,1.6,+0.1,+0.1,1.5,0.9,-0.6,-0.6,-0.5,0.10,16,0.06,0.17,6,37.5,17.6,0,Match Report
367,de RB Leipzig,2022-10-25,2.2,,es Real Madrid,Champions League,Group,,W 3-2,3,2,+1,44,3,0,0,0,2.2,2.2,+0.1,+0.9,1.5,1.3,+0.8,+0.8,+0.5,0.16,14,0.21,0.50,6,42.9,15.5,0,Match Report
368,es Real Madrid,2022-10-25,2.1,@,de RB Leipzig,Champions League,Group,,L 2-3,2,3,-1,56,1,1,1,0,2.1,1.3,-0.1,-0.9,1.2,1.2,-0.1,-0.3,-0.2,0.12,11,0.09,0.20,5,45.5,19.3,0,Match Report
369,pt Benfica,2022-10-25,3.3,,it Juventus,Champions League,Group,,W 4-3,4,3,+1,54,3,1,1,0,3.3,2.6,+1.0,+0.2,2.2,2.0,+0.7,+0.4,+0.8,0.18,14,0.21,0.60,5,35.7,14.6,0,Match Report
370,it Milan,2022-10-25,3.2,@,hr Dinamo Zagreb,Champions League,Group,,W 4-0,4,0,+4,45,2,1,1,0,3.2,2.5,+2.5,+1.7,2.3,2.9,-0.2,-0.5,-1.3,0.12,21,0.10,0.22,9,42.9,15.4,0,Match Report
371,il Maccabi Haifa,2022-10-25,0.8,@,fr Paris S-G,Champions League,Group,,L 2-7,2,7,-5,38,2,0,0,0,0.8,0.8,-1.8,-1.8,0.8,1.0,+1.2,+1.2,+1.2,0.06,13,0.15,0.40,5,38.5,17.1,0,Match Report
372,eng Chelsea,2022-10-25,1.5,@,at RB Salzburg,Champions League,Group,,W 2-1,2,1,+1,69,2,0,0,0,1.5,1.5,-0.1,-0.1,1.4,1.8,+0.5,+0.5,-0.4,0.10,15,0.13,0.20,10,66.7,14.3,0,Match Report
373,eng Liverpool,2022-10-12,2.2,@,sct Rangers,Champions League,Group,,W 7-1,7,1,+6,57,7,0,0,0,2.2,2.2,+1.7,+1.7,2.0,1.8,+4.8,+4.8,+4.0,0.11,20,0.35,0.78,9,45.0,18.1,1,Match Report
374,de Leverkusen,2022-10-12,2.2,,pt Porto,Champions League,Group,,L 0-3,0,3,-3,64,0,0,1,1,2.2,1.5,+0.4,+1.2,1.4,1.7,-2.2,-1.5,-1.4,0.10,16,0.00,0.00,3,18.8,19.7,0,Match Report
375,de Bayern Munich,2022-10-12,3.0,@,cz Viktoria Plzeň,Champions League,Group,,W 4-2,4,2,+2,67,4,0,0,0,3.0,3.0,+1.8,+1.8,2.5,1.9,+1.0,+1.0,+1.5,0.20,15,0.27,0.50,8,53.3,16.3,0,Match Report
376,it Inter,2022-10-12,2.0,@,es Barcelona,Champions League,Group,,D 3-3,3,3,0,39,3,0,0,0,2.0,2.0,-0.2,-0.2,2.0,0.8,+1.0,+1.0,+1.0,0.18,11,0.27,0.38,8,72.7,12.9,0,Match Report
377,es Atlético Madrid,2022-10-12,2.3,,be Club Brugge,Champions League,Group,,D 0-0,0,0,0,65,0,0,0,0,2.3,2.3,+1.7,+1.7,1.5,1.0,-2.3,-2.3,-1.5,0.11,21,0.00,0.00,9,42.9,14.8,0,Match Report
378,fr Marseille,2022-10-12,2.8,@,pt Sporting CP,Champions League,Group,,W 2-0,2,0,+2,68,1,1,1,0,2.8,2.0,+2.5,+1.8,1.6,0.8,-0.8,-1.0,-0.6,0.13,15,0.07,0.25,4,26.7,21.1,1,Match Report
379,pt Porto,2022-10-12,1.8,@,de Leverkusen,Champions League,Group,,W 3-0,3,0,+3,36,1,2,2,0,1.8,0.3,-0.4,-1.2,0.2,0.3,+1.2,+0.7,+0.8,0.09,3,0.33,1.00,1,33.3,25.6,0,Match Report
380,eng Tottenham,2022-10-12,3.0,,de Eint Frankfurt,Champions League,Group,,W 3-2,3,2,+1,51,2,1,2,1,3.0,1.4,+1.7,+0.1,1.3,0.9,0.0,+0.6,+0.7,0.15,9,0.22,0.29,7,77.8,21.3,2,Match Report
381,it Napoli,2022-10-12,3.2,,nl Ajax,Champions League,Group,,W 4-2,4,2,+2,45,3,1,1,0,3.2,2.5,+1.6,+1.6,1.4,1.3,+0.8,+0.5,+0.6,0.20,12,0.25,0.75,4,33.3,15.4,0,Match Report
382,sct Rangers,2022-10-12,0.5,,eng Liverpool,Champions League,Group,,L 1-7,1,7,-6,43,1,0,0,0,0.5,0.5,-1.7,-1.7,0.5,0.3,+0.5,+0.5,+0.5,0.08,7,0.14,0.50,2,28.6,18.6,0,Match Report
383,nl Ajax,2022-10-12,1.6,@,it Napoli,Champions League,Group,,L 2-4,2,4,-2,55,1,1,1,0,1.6,0.8,-1.6,-1.6,0.6,1.1,+0.4,+0.2,+0.4,0.07,12,0.08,0.50,2,16.7,20.6,0,Match Report
384,be Club Brugge,2022-10-12,0.6,@,es Atlético Madrid,Champions League,Group,,D 0-0,0,0,0,35,0,0,0,0,0.6,0.6,-1.7,-1.7,0.5,0.3,-0.6,-0.6,-0.5,0.11,5,0.00,0.00,1,20.0,18.0,0,Match Report
385,cz Viktoria Plzeň,2022-10-12,1.2,,de Bayern Munich,Champions League,Group,,L 2-4,2,4,-2,33,2,0,0,0,1.2,1.2,-1.8,-1.8,1.0,0.9,+0.8,+0.8,+1.0,0.08,15,0.13,0.33,6,40.0,17.1,0,Match Report
386,de Eint Frankfurt,2022-10-12,1.2,@,eng Tottenham,Champions League,Group,,L 2-3,2,3,-1,49,2,0,0,0,1.2,1.2,-1.7,-0.1,1.2,0.9,+0.8,+0.8,+0.8,0.11,11,0.18,0.33,6,54.5,19.7,0,Match Report
387,pt Sporting CP,2022-10-12,0.3,,fr Marseille,Champions League,Group,,L 0-2,0,2,-2,32,0,0,0,0,0.3,0.3,-2.5,-1.8,0.1,0.1,-0.3,-0.3,-0.1,0.07,4,0.00,0.00,2,50.0,22.1,0,Match Report
388,es Barcelona,2022-10-12,2.2,,it Inter,Champions League,Group,,D 3-3,3,3,0,61,3,0,0,0,2.2,2.2,+0.2,+0.2,1.8,2.3,+0.8,+0.8,-0.8,0.09,25,0.12,0.30,10,40.0,16.8,0,Match Report
389,es Real Madrid,2022-10-11,1.1,@,ua Shakhtar,Champions League,Group,,D 1-1,1,1,0,58,1,0,0,0,1.1,1.1,+0.5,+0.5,0.9,2.2,-0.1,-0.1,+0.1,0.06,17,0.06,0.20,5,29.4,19.6,0,Match Report
390,de RB Leipzig,2022-10-11,1.7,@,sct Celtic,Champions League,Group,,W 2-0,2,0,+2,58,2,0,0,0,1.7,1.7,-0.3,-0.3,1.5,2.3,+0.3,+0.3,+0.5,0.13,13,0.15,0.40,5,38.5,12.7,0,Match Report
391,sct Celtic,2022-10-11,2.0,,de RB Leipzig,Champions League,Group,,L 0-2,0,2,-2,42,0,0,0,0,2.0,2.0,+0.3,+0.3,1.7,2.1,-2.0,-2.0,-1.7,0.13,16,0.00,0.00,2,12.5,13.7,0,Match Report
392,at RB Salzburg,2022-10-11,1.3,@,hr Dinamo Zagreb,Champions League,Group,,D 1-1,1,1,0,45,1,0,0,0,1.3,1.3,+0.3,+0.3,0.9,0.5,-0.3,-0.3,-0.9,0.09,15,0.07,0.33,3,20.0,21.0,1,Match Report
393,es Sevilla,2022-10-11,0.8,@,de Dortmund,Champions League,Group,,D 1-1,1,1,0,48,1,0,0,0,0.8,0.8,+0.4,+0.4,0.8,0.5,+0.2,+0.2,+0.2,0.09,9,0.11,0.50,2,22.2,18.0,0,Match Report
394,eng Chelsea,2022-10-11,2.2,@,it Milan,Champions League,Group,,W 2-0,2,0,+2,69,1,1,1,0,2.2,1.4,+1.8,+1.0,1.3,1.3,-0.2,-0.4,-0.3,0.10,14,0.07,0.33,3,21.4,18.8,0,Match Report
395,hr Dinamo Zagreb,2022-10-11,0.9,,at RB Salzburg,Champions League,Group,,D 1-1,1,1,0,55,1,0,0,0,0.9,0.9,-0.3,-0.3,0.7,1.3,+0.1,+0.1,-0.7,0.07,14,0.07,0.33,3,21.4,20.0,1,Match Report
396,de Dortmund,2022-10-11,0.4,,es Sevilla,Champions League,Group,,D 1-1,1,1,0,52,1,0,0,0,0.4,0.4,-0.4,-0.4,0.4,0.6,+0.6,+0.6,+0.6,0.06,7,0.14,0.33,3,42.9,20.8,0,Match Report
397,eng Manchester City,2022-10-11,1.6,@,dk FC Copenhagen,Champions League,Group,,D 0-0,0,0,0,59,0,0,1,1,1.6,0.9,+1.3,+0.6,0.6,0.5,-1.6,-0.9,-0.6,0.07,13,0.00,0.00,3,23.1,21.7,0,Match Report
398,pt Benfica,2022-10-11,1.2,@,fr Paris S-G,Champions League,Group,,D 1-1,1,1,0,39,0,1,1,0,1.2,0.4,0.0,0.0,0.4,0.7,-0.2,-0.4,-0.4,0.07,6,0.00,,0,0.0,17.7,0,Match Report
399,dk FC Copenhagen,2022-10-11,0.3,,eng Manchester City,Champions League,Group,,D 0-0,0,0,0,41,0,0,0,0,0.3,0.3,-1.3,-0.6,0.1,0.2,-0.3,-0.3,-0.1,0.05,6,0.00,0.00,1,16.7,26.6,1,Match Report
400,it Juventus,2022-10-11,0.5,@,il Maccabi Haifa,Champions League,Group,,L 0-2,0,2,-2,58,0,0,0,0,0.5,0.5,-0.3,-0.3,0.5,0.7,-0.5,-0.5,-0.5,0.05,10,0.00,0.00,5,50.0,18.1,0,Match Report
401,it Milan,2022-10-11,0.4,,eng Chelsea,Champions League,Group,,L 0-2,0,2,-2,31,0,0,0,0,0.4,0.4,-1.8,-1.0,0.4,0.4,-0.4,-0.4,-0.4,0.06,7,0.00,0.00,1,14.3,18.8,1,Match Report
402,it Juventus,2022-10-11,0.5,@,il Maccabi Haifa,Champions League,Group,,L 0-2,0,2,-2,58,0,0,0,0,0.5,0.5,-0.3,-0.3,0.5,0.7,-0.5,-0.5,-0.5,0.05,10,0.00,0.00,5,50.0,18.1,0,Match Report
403,fr Paris S-G,2022-10-11,1.2,,pt Benfica,Champions League,Group,,D 1-1,1,1,0,61,0,1,1,0,1.2,0.4,0.0,0.0,0.3,0.6,-0.2,-0.4,-0.3,0.07,6,0.00,0.00,2,33.3,18.6,1,Match Report
404,il Maccabi Haifa,2022-10-11,0.8,,it Juventus,Champions League,Group,,W 2-0,2,0,+2,42,2,0,0,0,0.8,0.8,+0.3,+0.3,0.7,0.7,+1.2,+1.2,+1.3,0.05,14,0.14,0.50,4,28.6,20.2,1,Match Report
405,eng Manchester City,2022-10-05,4.3,,dk FC Copenhagen,Champions League,Group,,W 5-0,5,0,+5,75,3,1,1,0,4.3,3.5,+3.8,+3.1,2.1,2.1,-0.3,-0.5,+0.9,0.13,29,0.10,0.20,15,51.7,19.2,1,Match Report
406,es Sevilla,2022-10-05,2.0,,de Dortmund,Champions League,Group,,L 1-4,1,4,-3,58,1,0,0,0,2.0,2.0,-0.4,-0.4,1.4,1.2,-1.0,-1.0,-0.4,0.11,20,0.05,0.17,6,30.0,15.5,1,Match Report
407,fr Paris S-G,2022-10-05,1.0,@,pt Benfica,Champions League,Group,,D 1-1,1,1,0,64,1,0,0,0,1.0,1.0,-0.4,-0.4,0.6,1.0,0.0,0.0,+0.4,0.07,15,0.07,0.14,7,46.7,20.4,2,Match Report
408,dk FC Copenhagen,2022-10-05,0.4,@,eng Manchester City,Champions League,Group,,L 0-5,0,5,-5,25,0,0,0,0,0.4,0.4,-3.8,-3.1,0.5,0.3,-0.4,-0.4,-0.5,0.25,2,0.00,,0,0.0,8.5,0,Match Report
409,de RB Leipzig,2022-10-05,2.2,,sct Celtic,Champions League,Group,,W 3-1,3,1,+2,59,3,0,0,0,2.2,2.2,+1.3,+1.3,2.1,1.8,+0.8,+0.8,+0.9,0.14,16,0.19,0.50,6,37.5,14.6,1,Match Report
410,pt Benfica,2022-10-05,1.4,,fr Paris S-G,Champions League,Group,,D 1-1,1,1,0,36,0,0,0,0,1.4,1.4,+0.4,+0.4,0.9,0.4,-1.4,-1.4,-0.9,0.19,8,0.00,0.00,6,75.0,13.3,0,Match Report
411,ua Shakhtar,2022-10-05,0.8,@,es Real Madrid,Champions League,Group,,L 1-2,1,2,-1,41,1,0,0,0,0.8,0.8,-2.6,-2.6,0.6,0.4,+0.2,+0.2,+0.4,0.07,11,0.09,0.33,3,27.3,20.5,1,Match Report
412,at RB Salzburg,2022-10-05,2.2,,hr Dinamo Zagreb,Champions League,Group,,W 1-0,1,0,+1,47,0,1,1,0,2.2,1.4,+1.5,+0.7,1.0,1.1,-1.2,-1.4,-1.0,0.08,17,0.00,0.00,5,29.4,17.7,1,Match Report
413,eng Chelsea,2022-10-05,1.1,,it Milan,Champions League,Group,,W 3-0,3,0,+3,51,3,0,0,0,1.1,1.1,+0.7,+0.7,1.1,0.8,+1.9,+1.9,+1.9,0.11,10,0.30,0.50,6,60.0,13.3,0,Match Report
414,sct Celtic,2022-10-05,0.9,@,de RB Leipzig,Champions League,Group,,L 1-3,1,3,-2,41,1,0,0,0,0.9,0.9,-1.3,-1.3,0.9,1.0,+0.1,+0.1,+0.1,0.08,12,0.08,0.20,5,41.7,19.2,0,Match Report
415,it Juventus,2022-10-05,2.3,,il Maccabi Haifa,Champions League,Group,,W 3-1,3,1,+2,51,3,0,0,0,2.3,2.3,+0.3,+0.3,2.3,1.1,+0.7,+0.7,+0.7,0.15,16,0.19,0.43,7,43.8,18.7,0,Match Report
416,de Dortmund,2022-10-05,2.5,@,es Sevilla,Champions League,Group,,W 4-1,4,1,+3,42,4,0,0,0,2.5,2.5,+0.4,+0.4,1.7,1.0,+1.5,+1.5,+2.3,0.14,19,0.21,0.57,7,36.8,16.3,0,Match Report
417,it Milan,2022-10-05,0.4,@,eng Chelsea,Champions League,Group,,L 0-3,0,3,-3,49,0,0,0,0,0.4,0.4,-0.7,-0.7,0.3,0.6,-0.4,-0.4,-0.3,0.11,4,0.00,0.00,1,25.0,11.3,0,Match Report
418,hr Dinamo Zagreb,2022-10-05,0.7,@,at RB Salzburg,Champions League,Group,,L 0-1,0,1,-1,53,0,0,0,0,0.7,0.7,-1.5,-0.7,0.5,0.6,-0.7,-0.7,-0.5,0.07,10,0.00,0.00,3,30.0,18.5,0,Match Report
419,es Real Madrid,2022-10-05,3.4,,ua Shakhtar,Champions League,Group,,W 2-1,2,1,+1,59,2,0,0,0,3.4,3.4,+2.6,+2.6,2.8,3.4,-1.4,-1.4,-1.8,0.10,36,0.06,0.15,13,36.1,16.9,1,Match Report
420,il Maccabi Haifa,2022-10-05,2.0,@,it Juventus,Champions League,Group,,L 1-3,1,3,-2,49,1,0,0,0,2.0,2.0,-0.3,-0.3,2.0,1.4,-1.0,-1.0,-1.0,0.10,20,0.05,0.25,4,20.0,22.0,2,Match Report
421,de Leverkusen,2022-10-04,1.4,@,pt Porto,Champions League,Group,,L 0-2,0,2,-2,58,0,0,1,1,1.4,0.6,+0.3,-0.5,0.6,0.6,-1.4,-0.6,-0.6,0.09,7,0.00,0.00,5,71.4,19.7,0,Match Report
422,eng Liverpool,2022-10-04,2.9,,sct Rangers,Champions League,Group,,W 2-0,2,0,+2,64,1,1,1,0,2.9,2.1,+2.5,+1.7,2.0,1.2,-0.9,-1.1,-2.0,0.10,22,0.05,0.11,9,40.9,17.2,1,Match Report
423,es Barcelona,2022-10-04,0.5,@,it Inter,Champions League,Group,,L 0-1,0,1,-1,71,0,0,0,0,0.5,0.5,+0.3,+0.3,0.4,1.0,-0.5,-0.5,-0.4,0.07,7,0.00,0.00,2,28.6,14.5,0,Match Report
424,nl Ajax,2022-10-04,1.4,,it Napoli,Champions League,Group,,L 1-6,1,6,-5,44,1,0,0,0,1.4,1.4,-1.9,-1.9,1.1,0.4,-0.4,-0.4,-0.1,0.19,8,0.13,0.50,2,25.0,17.5,0,Match Report
425,cz Viktoria Plzeň,2022-10-04,0.5,@,de Bayern Munich,Champions League,Group,,L 0-5,0,5,-5,30,0,0,0,0,0.5,0.5,-1.9,-1.9,0.3,0.2,-0.5,-0.5,-0.3,0.05,10,0.00,0.00,3,30.0,20.4,0,Match Report
426,pt Porto,2022-10-04,1.1,,de Leverkusen,Champions League,Group,,W 2-0,2,0,+2,42,2,0,0,0,1.1,1.1,-0.3,+0.5,0.9,1.6,+0.9,+0.9,+1.1,0.10,12,0.17,0.50,4,33.3,16.9,0,Match Report
427,sct Rangers,2022-10-04,0.4,@,eng Liverpool,Champions League,Group,,L 0-2,0,2,-2,36,0,0,0,0,0.4,0.4,-2.5,-1.7,0.2,0.1,-0.4,-0.4,-0.2,0.07,6,0.00,0.00,1,16.7,14.9,1,Match Report
428,fr Marseille,2022-10-04,2.5,,pt Sporting CP,Champions League,Group,,W 4-1,4,1,+3,56,4,0,0,0,2.5,2.5,+2.1,+2.1,0.9,1.2,+1.5,+1.5,+2.1,0.13,20,0.20,0.57,7,35.0,16.4,2,Match Report
429,de Eint Frankfurt,2022-10-04,1.0,,eng Tottenham,Champions League,Group,,D 0-0,0,0,0,44,0,0,0,0,1.0,1.0,-0.5,-0.5,0.7,0.8,-1.0,-1.0,-0.7,0.08,12,0.00,0.00,2,16.7,20.8,0,Match Report
430,es Atlético Madrid,2022-10-04,2.1,@,be Club Brugge,Champions League,Group,,L 0-2,0,2,-2,52,0,0,1,1,2.1,1.3,+0.8,0.0,1.0,0.8,-2.1,-1.3,-1.0,0.07,19,0.00,0.00,5,26.3,20.0,2,Match Report
431,it Napoli,2022-10-04,3.3,@,nl Ajax,Champions League,Group,,W 6-1,6,1,+5,56,6,0,0,0,3.3,3.3,+1.9,+1.9,2.6,2.4,+2.7,+2.7,+3.4,0.13,26,0.23,0.46,13,50.0,15.5,1,Match Report
432,be Club Brugge,2022-10-04,1.3,,es Atlético Madrid,Champions League,Group,,W 2-0,2,0,+2,48,2,0,0,0,1.3,1.3,-0.8,0.0,1.1,0.9,+0.7,+0.7,+0.9,0.18,7,0.29,0.67,3,42.9,19.5,0,Match Report
433,it Inter,2022-10-04,0.2,,es Barcelona,Champions League,Group,,W 1-0,1,0,+1,29,1,0,0,0,0.2,0.2,-0.3,-0.3,0.1,0.2,+0.8,+0.8,+0.9,0.04,5,0.20,0.50,2,40.0,23.1,0,Match Report
434,de Bayern Munich,2022-10-04,2.4,,cz Viktoria Plzeň,Champions League,Group,,W 5-0,5,0,+5,70,5,0,0,0,2.4,2.4,+1.9,+1.9,2.0,1.6,+2.6,+2.6,+2.0,0.12,21,0.24,0.38,13,61.9,19.7,3,Match Report
435,eng Tottenham,2022-10-04,1.5,@,de Eint Frankfurt,Champions League,Group,,D 0-0,0,0,0,56,0,0,0,0,1.5,1.5,+0.5,+0.5,1.3,1.4,-1.5,-1.5,-1.3,0.13,11,0.00,0.00,1,9.1,14.8,0,Match Report
